request_creation_time;elb_status_code;target_status_code;time
2021-01-27T12:09:07.799000Z;200;200;2021-01-27T12:09:07.880742Z
2021-01-27T12:09:07.885000Z;200;200;2021-01-27T12:09:07.952135Z
2021-01-27T12:09:08.324000Z;200;200;2021-01-27T12:09:08.434913Z
2021-01-27T12:09:08.413000Z;200;200;2021-01-27T12:09:08.532042Z
2021-01-27T12:09:09.240000Z;200;200;2021-01-27T12:09:09.331940Z
2021-01-27T12:09:09.257000Z;200;200;2021-01-27T12:09:09.328193Z
2021-01-27T12:09:09.415000Z;200;200;2021-01-27T12:09:09.508346Z
2021-01-27T12:09:09.992000Z;200;200;2021-01-27T12:09:10.658875Z
2021-01-27T12:09:10.314000Z;200;200;2021-01-27T12:09:10.423405Z
2021-01-27T12:09:10.450000Z;200;200;2021-01-27T12:09:10.644674Z
2021-01-27T12:09:10.485000Z;200;200;2021-01-27T12:09:10.615185Z
2021-01-27T12:09:10.979000Z;200;200;2021-01-27T12:09:11.080695Z
2021-01-27T12:09:10.988000Z;200;200;2021-01-27T12:09:11.073800Z
2021-01-27T12:09:11.241000Z;200;200;2021-01-27T12:09:11.304051Z
2021-01-27T12:09:12.004000Z;200;200;2021-01-27T12:09:12.102874Z
2021-01-27T12:09:12.300000Z;200;200;2021-01-27T12:09:12.421810Z
2021-01-27T12:09:12.323000Z;200;200;2021-01-27T12:09:12.410785Z
2021-01-27T12:09:12.377000Z;200;200;2021-01-27T12:09:12.455753Z
2021-01-27T12:09:12.491000Z;200;200;2021-01-27T12:09:12.579827Z
2021-01-27T12:09:12.849000Z;200;200;2021-01-27T12:09:12.929470Z
2021-01-27T12:09:12.992000Z;200;200;2021-01-27T12:09:13.105215Z
2021-01-27T12:09:13.008000Z;200;200;2021-01-27T12:09:13.109105Z
2021-01-27T12:09:13.134000Z;200;200;2021-01-27T12:09:13.226556Z
2021-01-27T12:09:13.413000Z;200;200;2021-01-27T12:09:13.550735Z
2021-01-27T12:09:13.771000Z;200;200;2021-01-27T12:09:13.860972Z
2021-01-27T12:09:13.783000Z;200;200;2021-01-27T12:09:13.867640Z
2021-01-27T12:09:14.219000Z;200;200;2021-01-27T12:09:14.335952Z
2021-01-27T12:09:14.374000Z;200;200;2021-01-27T12:09:14.451069Z
2021-01-27T12:09:14.584000Z;200;200;2021-01-27T12:09:14.688606Z
2021-01-27T12:09:14.606000Z;200;200;2021-01-27T12:09:14.713909Z
2021-01-27T12:09:14.638000Z;200;200;2021-01-27T12:09:14.689398Z
2021-01-27T12:09:14.756000Z;502;502;2021-01-27T12:10:28.617050Z
2021-01-27T12:09:14.795000Z;200;200;2021-01-27T12:09:14.871624Z
2021-01-27T12:09:15.066000Z;200;200;2021-01-27T12:09:15.139442Z
2021-01-27T12:09:15.233000Z;200;200;2021-01-27T12:09:15.317888Z
2021-01-27T12:09:15.351000Z;200;200;2021-01-27T12:09:15.422880Z
2021-01-27T12:09:15.427000Z;200;200;2021-01-27T12:09:15.525251Z
2021-01-27T12:09:15.442000Z;200;200;2021-01-27T12:09:15.512587Z
2021-01-27T12:09:15.834000Z;200;200;2021-01-27T12:09:15.913410Z
2021-01-27T12:09:15.916000Z;200;200;2021-01-27T12:09:15.997825Z
2021-01-27T12:09:16.470000Z;200;200;2021-01-27T12:09:16.567271Z
2021-01-27T12:09:16.596000Z;200;200;2021-01-27T12:09:16.676179Z
2021-01-27T12:09:16.602000Z;200;200;2021-01-27T12:09:16.681389Z
2021-01-27T12:09:16.804000Z;200;200;2021-01-27T12:09:16.905573Z
2021-01-27T12:09:16.805000Z;200;200;2021-01-27T12:09:17.920142Z
2021-01-27T12:09:17.209000Z;200;200;2021-01-27T12:09:17.258556Z
2021-01-27T12:09:17.286000Z;200;200;2021-01-27T12:09:17.346616Z
2021-01-27T12:09:17.661000Z;200;200;2021-01-27T12:09:17.696287Z
2021-01-27T12:09:17.836000Z;200;200;2021-01-27T12:09:17.925787Z
2021-01-27T12:09:18.032000Z;200;200;2021-01-27T12:09:18.088046Z
2021-01-27T12:09:18.348000Z;200;200;2021-01-27T12:09:18.385493Z
2021-01-27T12:09:18.403000Z;200;200;2021-01-27T12:09:18.449664Z
2021-01-27T12:09:18.462000Z;200;200;2021-01-27T12:09:18.500012Z
2021-01-27T12:09:18.654000Z;200;200;2021-01-27T12:09:18.691270Z
2021-01-27T12:09:19.083000Z;200;200;2021-01-27T12:09:19.204083Z
2021-01-27T12:09:19.114000Z;200;200;2021-01-27T12:09:19.153775Z
2021-01-27T12:09:19.261000Z;200;200;2021-01-27T12:09:19.297026Z
2021-01-27T12:09:19.432000Z;200;200;2021-01-27T12:09:19.479849Z
2021-01-27T12:09:19.598000Z;200;200;2021-01-27T12:09:19.642678Z
2021-01-27T12:09:20.007000Z;200;200;2021-01-27T12:09:20.128573Z
2021-01-27T12:09:20.008000Z;200;200;2021-01-27T12:09:20.136746Z
2021-01-27T12:09:20.123000Z;200;200;2021-01-27T12:09:20.228133Z
2021-01-27T12:09:20.332000Z;200;200;2021-01-27T12:09:20.466348Z
2021-01-27T12:09:20.369000Z;200;200;2021-01-27T12:09:20.484147Z
2021-01-27T12:09:20.417000Z;200;200;2021-01-27T12:09:20.484360Z
2021-01-27T12:09:20.539000Z;200;200;2021-01-27T12:09:20.633360Z
2021-01-27T12:09:21.067000Z;200;200;2021-01-27T12:09:21.101399Z
2021-01-27T12:09:21.139000Z;200;200;2021-01-27T12:09:21.192005Z
2021-01-27T12:09:21.140000Z;200;200;2021-01-27T12:09:21.193255Z
2021-01-27T12:09:21.157000Z;200;200;2021-01-27T12:09:21.199704Z
2021-01-27T12:09:21.200000Z;200;200;2021-01-27T12:09:21.234159Z
2021-01-27T12:09:21.412000Z;200;200;2021-01-27T12:09:21.454234Z
2021-01-27T12:09:21.593000Z;200;200;2021-01-27T12:09:21.716157Z
2021-01-27T12:09:21.629000Z;200;200;2021-01-27T12:09:21.698263Z
2021-01-27T12:09:21.793000Z;200;200;2021-01-27T12:09:21.916581Z
2021-01-27T12:09:21.861000Z;200;200;2021-01-27T12:09:21.941192Z
2021-01-27T12:09:21.947000Z;200;200;2021-01-27T12:09:22.032766Z
2021-01-27T12:09:22.078000Z;200;200;2021-01-27T12:09:22.207996Z
2021-01-27T12:09:22.198000Z;200;200;2021-01-27T12:09:22.285275Z
2021-01-27T12:09:22.315000Z;200;200;2021-01-27T12:09:22.380166Z
2021-01-27T12:09:22.329000Z;200;200;2021-01-27T12:09:22.373304Z
2021-01-27T12:09:22.392000Z;200;200;2021-01-27T12:09:22.473500Z
2021-01-27T12:09:22.695000Z;200;200;2021-01-27T12:09:22.734245Z
2021-01-27T12:09:22.746000Z;200;200;2021-01-27T12:09:22.783264Z
2021-01-27T12:09:22.967000Z;200;200;2021-01-27T12:09:23.066902Z
2021-01-27T12:09:23.085000Z;200;200;2021-01-27T12:09:23.165324Z
2021-01-27T12:09:23.760000Z;200;200;2021-01-27T12:09:23.798563Z
2021-01-27T12:09:23.827000Z;200;200;2021-01-27T12:09:23.880114Z
2021-01-27T12:09:23.834000Z;200;200;2021-01-27T12:09:23.877492Z
2021-01-27T12:09:23.962000Z;200;200;2021-01-27T12:09:24.036859Z
2021-01-27T12:09:23.963000Z;200;200;2021-01-27T12:09:24.021520Z
2021-01-27T12:09:23.980000Z;200;200;2021-01-27T12:09:24.034048Z
2021-01-27T12:09:24.047000Z;200;200;2021-01-27T12:09:24.087179Z
2021-01-27T12:09:24.623000Z;200;200;2021-01-27T12:09:24.657862Z
2021-01-27T12:09:25.049000Z;200;200;2021-01-27T12:09:25.092148Z
2021-01-27T12:09:25.256000Z;200;200;2021-01-27T12:09:25.295827Z
2021-01-27T12:09:25.513000Z;200;200;2021-01-27T12:09:25.554028Z
2021-01-27T12:09:25.531000Z;200;200;2021-01-27T12:09:25.586179Z
2021-01-27T12:09:25.626000Z;200;200;2021-01-27T12:09:25.663661Z
2021-01-27T12:09:25.725000Z;200;200;2021-01-27T12:09:25.767892Z
2021-01-27T12:09:26.396000Z;200;200;2021-01-27T12:09:26.454206Z
2021-01-27T12:09:26.477000Z;200;200;2021-01-27T12:09:26.539938Z
2021-01-27T12:09:26.627000Z;200;200;2021-01-27T12:09:26.670818Z
2021-01-27T12:09:27.000000Z;200;200;2021-01-27T12:09:27.100211Z
2021-01-27T12:09:27.078000Z;200;200;2021-01-27T12:09:27.181386Z
2021-01-27T12:09:27.080000Z;200;200;2021-01-27T12:09:27.192581Z
2021-01-27T12:09:27.105000Z;200;200;2021-01-27T12:09:27.232272Z
2021-01-27T12:09:27.490000Z;200;200;2021-01-27T12:09:27.543663Z
2021-01-27T12:09:27.632000Z;200;200;2021-01-27T12:09:27.672169Z
2021-01-27T12:09:27.690000Z;200;200;2021-01-27T12:09:27.724924Z
2021-01-27T12:09:27.712000Z;200;200;2021-01-27T12:09:27.747340Z
2021-01-27T12:09:27.901000Z;200;200;2021-01-27T12:09:27.941196Z
2021-01-27T12:09:28.070000Z;200;200;2021-01-27T12:09:28.107321Z
2021-01-27T12:09:28.145000Z;200;200;2021-01-27T12:09:28.329152Z
2021-01-27T12:09:28.167000Z;200;200;2021-01-27T12:09:28.235507Z
2021-01-27T12:09:28.255000Z;200;200;2021-01-27T12:09:28.316376Z
2021-01-27T12:09:28.261000Z;200;200;2021-01-27T12:09:28.310507Z
2021-01-27T12:09:28.430000Z;200;200;2021-01-27T12:09:28.463371Z
2021-01-27T12:09:28.564000Z;200;200;2021-01-27T12:09:28.610879Z
2021-01-27T12:09:28.687000Z;200;200;2021-01-27T12:09:28.721681Z
2021-01-27T12:09:28.961000Z;200;200;2021-01-27T12:09:28.992863Z
2021-01-27T12:09:29.117000Z;200;200;2021-01-27T12:09:29.150547Z
2021-01-27T12:09:29.227000Z;200;200;2021-01-27T12:09:29.262469Z
2021-01-27T12:09:29.441000Z;200;200;2021-01-27T12:09:29.522141Z
2021-01-27T12:09:29.446000Z;200;200;2021-01-27T12:09:29.518145Z
2021-01-27T12:09:29.486000Z;200;200;2021-01-27T12:09:29.525568Z
2021-01-27T12:09:29.577000Z;200;200;2021-01-27T12:09:29.613770Z
2021-01-27T12:09:29.633000Z;200;200;2021-01-27T12:09:29.666010Z
2021-01-27T12:09:30.002000Z;200;200;2021-01-27T12:09:30.067654Z
2021-01-27T12:09:31.151000Z;200;200;2021-01-27T12:09:31.200266Z
2021-01-27T12:09:31.231000Z;200;200;2021-01-27T12:09:31.304095Z
2021-01-27T12:09:31.243000Z;200;200;2021-01-27T12:09:31.336987Z
2021-01-27T12:09:31.272000Z;200;200;2021-01-27T12:09:31.316939Z
2021-01-27T12:09:31.347000Z;200;200;2021-01-27T12:09:31.382234Z
2021-01-27T12:09:31.380000Z;200;200;2021-01-27T12:09:31.417330Z
2021-01-27T12:09:31.492000Z;200;200;2021-01-27T12:09:31.553311Z
2021-01-27T12:09:31.566000Z;200;200;2021-01-27T12:09:31.628161Z
2021-01-27T12:09:31.571000Z;200;200;2021-01-27T12:09:31.617624Z
2021-01-27T12:09:31.752000Z;200;200;2021-01-27T12:09:31.816759Z
